date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:22	49747/49747	---M-Z	200	added ('OK')	text/html	etag:%22c253-650e98e5-d6d139319cc8f2cf;gz%22	https://html.xpressbuddy.com/kinter/index.html	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/index.html	(from )
17:37:23	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-5085b4dfad1fbe1f;gz%22	https://html.xpressbuddy.com/robots.txt		(from )
17:37:24	3014/3014	---M--	200	added ('OK')	image/png	etag:%22bc6-650e98e5-9d5788ac5ba57601;;;%22	https://html.xpressbuddy.com/kinter/assets/img/favicon.png	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/img/favicon.png	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:25	154874/154874	---M-Z	200	added ('OK')	text/css	etag:%2225cfa-650e98e5-39fd9ec736e73c92;gz%22	https://html.xpressbuddy.com/kinter/assets/css/bootstrap.min.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/bootstrap.min.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:26	97535/97535	---M-Z	200	added ('OK')	text/css	etag:%2217cff-650e98e5-c8ae2b93f2d82878;gz%22	https://html.xpressbuddy.com/kinter/assets/css/fontawesome.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/fontawesome.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:27	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-650e98e5-6dc2ba2e009892b1;gz%22	https://html.xpressbuddy.com/kinter/assets/css/animate.min.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/animate.min.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:28	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-650e98e5-b99fce4f541fbcda;gz%22	https://html.xpressbuddy.com/kinter/assets/css/owl.carousel.min.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/owl.carousel.min.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:29	7654/7654	---M-Z	200	added ('OK')	text/css	etag:%221de6-650e98e5-6c0143ab2a10bbc8;gz%22	https://html.xpressbuddy.com/kinter/assets/css/magnific-popup.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/magnific-popup.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:30	18993/18993	---M-Z	200	added ('OK')	text/css	etag:%224a31-650e98e5-1f6c7a5b1df8690f;gz%22	https://html.xpressbuddy.com/kinter/assets/css/swiper.min.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/swiper.min.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:31	5217/5217	---M-Z	200	added ('OK')	text/css	etag:%221461-650e98e5-e672260c61e2e4ef;gz%22	https://html.xpressbuddy.com/kinter/assets/css/meanmenu.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/meanmenu.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:32	32076/32076	---M-Z	200	added ('OK')	text/css	etag:%227d4c-650e98e5-99aa0eb6ad74462c;gz%22	https://html.xpressbuddy.com/kinter/assets/css/jquery-ui.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/jquery-ui.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:33	259322/259322	---M-Z	200	added ('OK')	text/css	etag:%223f4fa-650e98e5-24ad3f4b8adad7da;gz%22	https://html.xpressbuddy.com/kinter/assets/css/uikit.min.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/uikit.min.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:34	3525/3525	---M-Z	200	added ('OK')	text/css	etag:%22dc5-650e98e5-b69d3958ea8cfd72;gz%22	https://html.xpressbuddy.com/kinter/assets/css/odometer.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/odometer.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:35	17936/17936	---M-Z	200	added ('OK')	text/css	etag:%224610-650e98e5-a9739d1caeb0ae32;gz%22	https://html.xpressbuddy.com/kinter/assets/css/common.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/common.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:36	108245/108245	---M-Z	200	added ('OK')	text/css	etag:%221a6d5-650e98e5-86c8d716ffc42f85;gz%22	https://html.xpressbuddy.com/kinter/assets/css/style.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/style.css	(from https://html.xpressbuddy.com/kinter/index.html)
17:37:37	8771/8771	---M-Z	200	added ('OK')	text/css	etag:%222243-650e98e5-9fa40735dcfa0f29;gz%22	https://html.xpressbuddy.com/kinter/assets/css/responsive.css	/Users/kayishlm/code/template-web/site-template-1/html.xpressbuddy.com/kinter/assets/css/responsive.css	(from https://html.xpressbuddy.com/kinter/index.html)
